planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass
K2-166,1,EPIC 201615463 c,3.80464,0.00098,1.500040737,0.134514552,,,K2-166 b,8.52695,0.00366,2.000054316,0.195415488,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,1.146450481,0.0866215,4.873,2.0265,1.478736871,0.072080185,6083.954964,175.6803918,-0.053055215,0.144659018,0,0,0,2.873147758,4.673365003,3.663906082
K2-16,,EPIC 201754305 d,2.71578,0.00031,1.03,0.0855,,,K2-16 b,7.6188,0.00087,2.02,0.24,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,0.6728,0.01675,5,2,0.6586,0.01757,4341,131,-0.4,0.145,0,0,0,0.624672646,1.480526426,1.004562167
K2-16,,EPIC 201754305 d,2.71578,0.00031,1.03,0.0855,,,K2-16 c,19.07863,0.00327,2.54,0.795,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,0.6728,0.01675,5,2,0.6586,0.01757,4341,131,-0.4,0.145,0,0,0,0.461337958,1.40646372,0.840691644
EPIC 206024342,1,EPIC 206024342 b,4.50756,0.00061,1.358555038,0.112089024,,,EPIC 206024342 d,14.647531,4.10E-06,2.005486009,0.128256846,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.876248126,0.04949999,4.298,4.798,0.847287305,0.029445291,5559.318134,110.5169347,-0.165798382,0.129833341,0,0,0,1.535013911,3.245768483,2.259253968
EPIC 206024342,1,EPIC 206024342 c,0.911724,7.60E-05,1.081298908,0.085417407,,,EPIC 206024342 d,14.647531,4.10E-06,2.005486009,0.128256846,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.876248126,0.04949999,4.298,4.798,0.847287305,0.029445291,5559.318134,110.5169347,-0.165798382,0.129833341,0,0,0,0.240715885,0.89349338,0.877504443
EPIC 206042996,,EPIC 206042996 c,0.354884,6.30E-05,1.2,0.15,,,EPIC 206042996 b,5.2986,0.0006,1.7,0.2,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.6361,0.01752,5,2,0.6336,0.01766,4053,97,0.006,0.12,0,0,0,0.336612664,1.040314283,0.969003865
EPIC 206317286,1,EPIC 206317286 b,1.58252,0.000175,1.071477451,0.111519017,,,EPIC 206317286 c,17.515472,0.0026265,2.038224022,0.108637482,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,0.754355007,0.049797388,9.61,9.143,0.738587905,0.026410246,4896.194155,96.88502268,-0.081079136,0.136940381,0,0,0,0.234994949,1.146303097,0.865364651
EPIC 212297394,,EPIC 212297394 b,2.289363,0.0002415,1.48,0.12,,,EPIC 212297394 c,5.213965,0.000442,2.27,0.165,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,1.0221,0.2396,5,2,0.8961,0.05422,5171,151,-0.03,0.155,0,0,0,2.581341748,4.927970504,3.424788091
EPIC 212587672,1,EPIC 212587672 b,15.28078,0.0001185,1.24738684,0.095086704,,,EPIC 212587672 c,23.228555,6.95E-05,2.292206586,0.149446396,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.994267913,0.057120775,3.036,3.1975,0.977430964,0.032937121,5993.415321,128.6832693,-0.230020723,0.133930793,0,0,0,2.28080797,3.78111124,2.155345317
K2-282,1,EPIC 220554210 c,0.70531,3.70E-05,1.401923248,0.103685598,,,K2-282 b,4.169783,8.90E-05,2.194735015,0.146611264,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.894282928,0.057264665,6.123,6.226,0.886394458,0.03790324,5440.805943,122.3923826,0.004672201,0.136442969,0,0,0,1.075568045,3.019079348,2.048810177
