planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass,PE200prob,PE1000prob,CPML900prob,CPML1100prob,PRV10prob
EPIC 220674823,1.0,EPIC 220674823 b,0.571292,1.2e-05,1.650068981,0.068492064,8.21,0.75,EPIC 220674823 c,13.3397,0.00096,2.712809104,0.121248552,8.9,2.4,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.976098602,0.049445862,3.4,3.7635,0.946781285,0.031540464,5618.476627,106.6132774,0.100509358,0.136733776,0.813914,0.799197,0.997001,1.054514047,3.83422651,2.244041927,0.820849,0.811088,0.81303,0.804667,0.997508
EPIC 249893012,1.0,EPIC 249893012 b,3.5951,0.0003,1.739404686,0.116321012,8.75,1.085,EPIC 249893012 c,15.624,0.001,3.294833877,0.214934327,14.67,1.865,0.0,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,1.13185994,0.094378475,6.139,2.401,1.533338687,0.083884232,5826.000783,178.1199373,0.159099153,0.154455031,0.997108,0.883441,0.999772,4.707778734,10.3259247,5.10366563,0.994963,0.994075,0.896767,0.903719,0.999964
EPIC 249893012,1.0,EPIC 249893012 b,3.5951,0.0003,1.739404686,0.116321012,8.75,1.085,EPIC 249893012 d,35.747,0.005,3.528984508,0.207211449,10.18,2.44,0.0,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,1.13185994,0.094378475,6.139,2.401,1.533338687,0.083884232,5826.000783,178.1199373,0.159099153,0.154455031,0.992902,0.639589,0.988793,3.338210963,8.980655452,3.817467463,0.992229,0.994474,0.645136,0.688118,0.999924
GJ 9827,1.0,GJ 9827 b,1.2089819,7.1e-06,1.627832575,0.048676451,5.14,0.47,GJ 9827 d,6.20147,6.3e-05,2.087176551,0.067320625,3.53,0.875,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.597527942,0.019290208,13.247,9.6115,0.619199714,0.013658277,4063.23258,26.93486174,-0.228200375,0.130523704,0.882866,0.076742,0.471724,1.918204869,4.972643522,3.574735448,0.866153,0.891241,0.06717,0.077094,0.512296
GJ 9827,1.0,GJ 9827 c,3.648096,6.3e-05,1.28100205,0.039728007,1.3,,GJ 9827 d,6.20147,6.3e-05,2.087176551,0.067320625,3.53,0.875,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.597527942,0.019290208,13.247,9.6115,0.619199714,0.013658277,4063.23258,26.93486174,-0.228200375,0.130523704,0.873351,0.380636,0.919785,2.011254442,3.774996719,2.252441867,0.866552,0.891415,0.354994,0.406283,0.921887
HD 136352,1.0,HD 136352 b,11.57797,0.000105,1.584701238,0.082025834,4.72,0.42,HD 136352 c,27.59221,0.00011,2.775974569,0.142631394,11.24,0.64,0.0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,0.915888753,0.072026632,7.472,5.4415,1.007518278,0.048481582,5785.898817,154.4623015,-0.187445885,0.141186726,0.905977,0.8629,1.0,4.618862132,8.395329611,4.374350715,0.918227,0.908208,0.861129,0.880319,1.0
HD 15337,1.0,HD 15337 b,4.75615,0.00017,1.581015787,0.07937531,7.51,1.05,HD 15337 c,17.1784,0.0016,2.298353443,0.132778324,8.11,1.755,0.0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,0.834703788,0.050154002,7.897,7.586,0.82309061,0.031784328,5160.526824,100.3557812,0.052525095,0.138592077,0.860186,0.764432,0.986997,2.803586299,5.806054293,3.777195728,0.832626,0.84769,0.749777,0.765703,0.988156
GJ 143,1.0,HD 21749 c,7.78993,0.000475,0.923552468,0.047965952,3.7,,GJ 143 b,35.61253,0.00061,2.702703712,0.112842473,22.7,2.05,0.0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,0.694395083,0.040168046,15.081,9.378,0.707947725,0.020557374,4560.193901,93.90327488,-0.028490195,0.127797668,0.994873,0.994919,1.0,0.695202403,1.73830804,0.663680671,0.99416,0.99565,0.995236,0.995688,1.0
HD 23472,1.0,HD 23472 d,3.97664,3.7e-05,0.758327115,0.062821158,0.55,0.205,HD 23472 f,12.1621839,0.0001095,1.149546128,0.07362754,0.77,0.42,0.0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.32623,0.369719,0.721328,20.0,0.814280789,0.515922731,0.368738,0.895695,0.385818,0.374275,0.776228
HD 23472,1.0,HD 23472 d,3.97664,3.7e-05,0.758327115,0.062821158,0.55,0.205,HD 23472 c,29.79749,0.000135,1.889984501,0.101626426,3.41,0.845,0.0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.591431,0.887823,0.999729,0.134729103,0.476968851,0.483634303,0.531372,0.684114,0.870781,0.872617,0.999821
